Overlap,Num,Method
25,15,XTREE
25,255,ALVES
25,263,SHATW
25,251,OLIVE
50,78,XTREE
50,10,ALVES
50,1,SHATW
50,8,OLIVE
75,44,XTREE
75,0,ALVES
75,0,SHATW
75,4,OLIVE
100,152,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
25,15,XTREE
25,256,ALVES
25,263,SHATW
25,250,OLIVE
50,75,XTREE
50,9,ALVES
50,0,SHATW
50,12,OLIVE
75,44,XTREE
75,0,ALVES
75,0,SHATW
75,2,OLIVE
100,152,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
25,15,XTREE
25,255,ALVES
25,263,SHATW
25,254,OLIVE
50,75,XTREE
50,9,ALVES
50,0,SHATW
50,8,OLIVE
75,44,XTREE
75,0,ALVES
75,0,SHATW
75,1,OLIVE
100,153,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
25,16,XTREE
25,255,ALVES
25,263,SHATW
25,249,OLIVE
50,78,XTREE
50,10,ALVES
50,1,SHATW
50,12,OLIVE
75,44,XTREE
75,0,ALVES
75,0,SHATW
75,2,OLIVE
100,152,XTREE
100,0,ALVES
100,0,SHATW
100,1,OLIVE
25,16,XTREE
25,250,ALVES
25,263,SHATW
25,250,OLIVE
50,75,XTREE
50,14,ALVES
50,0,SHATW
50,9,OLIVE
75,44,XTREE
75,0,ALVES
75,0,SHATW
75,5,OLIVE
100,153,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
25,17,XTREE
25,255,ALVES
25,263,SHATW
25,248,OLIVE
50,76,XTREE
50,10,ALVES
50,1,SHATW
50,12,OLIVE
75,45,XTREE
75,0,ALVES
75,0,SHATW
75,4,OLIVE
100,153,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
25,18,XTREE
25,252,ALVES
25,263,SHATW
25,253,OLIVE
50,78,XTREE
50,13,ALVES
50,1,SHATW
50,7,OLIVE
75,44,XTREE
75,0,ALVES
75,0,SHATW
75,2,OLIVE
100,152,XTREE
100,0,ALVES
100,0,SHATW
100,1,OLIVE
25,16,XTREE
25,252,ALVES
25,263,SHATW
25,250,OLIVE
50,76,XTREE
50,14,ALVES
50,0,SHATW
50,10,OLIVE
75,44,XTREE
75,0,ALVES
75,0,SHATW
75,3,OLIVE
100,152,XTREE
100,0,ALVES
100,0,SHATW
100,1,OLIVE
25,15,XTREE
25,251,ALVES
25,263,SHATW
25,251,OLIVE
50,77,XTREE
50,14,ALVES
50,1,SHATW
50,10,OLIVE
75,43,XTREE
75,0,ALVES
75,0,SHATW
75,2,OLIVE
100,153,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
25,14,XTREE
25,255,ALVES
25,263,SHATW
25,254,OLIVE
50,76,XTREE
50,9,ALVES
50,0,SHATW
50,8,OLIVE
75,45,XTREE
75,0,ALVES
75,0,SHATW
75,1,OLIVE
100,152,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
