Overlap,25,,50,,75,,100,,
Method,BELLTREE,XTREE,BELLTREE,XTREE,BELLTREE,XTREE,BELLTREE,XTREE,
ant v1,12,13,19,33,10,27,54,62,116
ant v2,13,6,33,42,27,27,61,124,185
ant v3,6,18,42,71,27,47,124,108,232
camel v1,10,29,30,90,20,52,98,226,324
camel v2,30,25,100,109,68,69,277,439,716
ivy v1,24,4,113,10,76,5,443,12,455
jedit v1,12,9,42,35,13,39,25,136,161
jedit v3,11,30,44,67,50,28,108,70,178
jedit v2,10,24,34,77,39,36,135,107,242
log4j v1,28,1,75,7,35,3,106,8,114
lucene v1,0,6,14,36,8,17,50,57,107
poi v1,7,0,80,0,19,2,90,81,171
poi v2,0,4,0,135,2,27,83,87,170
velocity v1,6,2,15,25,32,39,48,90,138
xerces v1,2,2,51,11,66,17,230,305,535
xerces v2,6,0,49,3,54,6,408,117,525
xalan v2,11,0,13,38,24,102,49,83,132
xalan v1,2,6,11,43,18,60,305,409,714
