Overlap,Num,Method
25,2,XTREE
25,2,ALVES
25,8,SHATW
25,1,OLIVE
50,18,XTREE
50,9,ALVES
50,10,SHATW
50,9,OLIVE
75,8,XTREE
75,5,ALVES
75,0,SHATW
75,2,OLIVE
100,26,XTREE
100,1,ALVES
100,0,SHATW
100,8,OLIVE
25,2,XTREE
25,3,ALVES
25,10,SHATW
25,1,OLIVE
50,18,XTREE
50,9,ALVES
50,9,SHATW
50,8,OLIVE
75,7,XTREE
75,5,ALVES
75,0,SHATW
75,2,OLIVE
100,27,XTREE
100,0,ALVES
100,0,SHATW
100,7,OLIVE
25,2,XTREE
25,2,ALVES
25,10,SHATW
25,0,OLIVE
50,18,XTREE
50,9,ALVES
50,10,SHATW
50,8,OLIVE
75,7,XTREE
75,6,ALVES
75,0,SHATW
75,2,OLIVE
100,27,XTREE
100,1,ALVES
100,0,SHATW
100,6,OLIVE
25,2,XTREE
25,4,ALVES
25,11,SHATW
25,1,OLIVE
50,18,XTREE
50,9,ALVES
50,9,SHATW
50,9,OLIVE
75,7,XTREE
75,6,ALVES
75,0,SHATW
75,3,OLIVE
100,27,XTREE
100,0,ALVES
100,0,SHATW
100,7,OLIVE
25,2,XTREE
25,3,ALVES
25,9,SHATW
25,1,OLIVE
50,18,XTREE
50,10,ALVES
50,6,SHATW
50,8,OLIVE
75,7,XTREE
75,5,ALVES
75,0,SHATW
75,2,OLIVE
100,27,XTREE
100,1,ALVES
100,0,SHATW
100,5,OLIVE
25,2,XTREE
25,3,ALVES
25,9,SHATW
25,1,OLIVE
50,18,XTREE
50,7,ALVES
50,7,SHATW
50,9,OLIVE
75,7,XTREE
75,5,ALVES
75,0,SHATW
75,3,OLIVE
100,27,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,2,XTREE
25,3,ALVES
25,9,SHATW
25,0,OLIVE
50,18,XTREE
50,9,ALVES
50,9,SHATW
50,9,OLIVE
75,7,XTREE
75,4,ALVES
75,0,SHATW
75,3,OLIVE
100,27,XTREE
100,1,ALVES
100,0,SHATW
100,6,OLIVE
25,2,XTREE
25,3,ALVES
25,8,SHATW
25,0,OLIVE
50,17,XTREE
50,9,ALVES
50,13,SHATW
50,7,OLIVE
75,13,XTREE
75,4,ALVES
75,0,SHATW
75,4,OLIVE
100,22,XTREE
100,0,ALVES
100,0,SHATW
100,9,OLIVE
25,2,XTREE
25,2,ALVES
25,10,SHATW
25,1,OLIVE
50,14,XTREE
