Overlap,Num,Method
25,3,XTREE
25,70,ALVES
25,83,SHATW
25,73,OLIVE
50,31,XTREE
50,22,ALVES
50,12,SHATW
50,11,OLIVE
75,12,XTREE
75,10,ALVES
75,0,SHATW
75,4,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,8,OLIVE
25,3,XTREE
25,75,ALVES
25,84,SHATW
25,76,OLIVE
50,32,XTREE
50,16,ALVES
50,12,SHATW
50,12,OLIVE
75,10,XTREE
75,7,ALVES
75,0,SHATW
75,3,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,3,XTREE
25,68,ALVES
25,87,SHATW
25,74,OLIVE
50,32,XTREE
50,23,ALVES
50,9,SHATW
50,11,OLIVE
75,10,XTREE
75,11,ALVES
75,0,SHATW
75,6,OLIVE
100,54,XTREE
100,1,ALVES
100,0,SHATW
100,7,OLIVE
25,3,XTREE
25,76,ALVES
25,86,SHATW
25,74,OLIVE
50,32,XTREE
50,15,ALVES
50,11,SHATW
50,12,OLIVE
75,10,XTREE
75,8,ALVES
75,0,SHATW
75,4,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,7,OLIVE
25,26,XTREE
25,79,ALVES
25,84,SHATW
25,73,OLIVE
50,22,XTREE
50,14,ALVES
50,12,SHATW
50,10,OLIVE
75,5,XTREE
75,7,ALVES
75,0,SHATW
75,6,OLIVE
100,44,XTREE
100,0,ALVES
100,0,SHATW
100,8,OLIVE
25,3,XTREE
25,76,ALVES
25,82,SHATW
25,77,OLIVE
50,32,XTREE
50,15,ALVES
50,14,SHATW
50,8,OLIVE
75,10,XTREE
75,7,ALVES
75,0,SHATW
75,5,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,3,XTREE
25,75,ALVES
25,90,SHATW
25,75,OLIVE
50,32,XTREE
50,17,ALVES
50,7,SHATW
50,10,OLIVE
75,10,XTREE
75,7,ALVES
75,0,SHATW
75,5,OLIVE
100,54,XTREE
100,1,ALVES
100,0,SHATW
100,7,OLIVE
25,3,XTREE
25,76,ALVES
25,86,SHATW
25,72,OLIVE
50,32,XTREE
50,15,ALVES
50,10,SHATW
50,8,OLIVE
75,10,XTREE
75,11,ALVES
75,0,SHATW
75,8,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,9,OLIVE
25,3,XTREE
25,75,ALVES
25,88,SHATW
25,70,OLIVE
50,32,XTREE
50,16,ALVES
50,9,SHATW
50,14,OLIVE
75,10,XTREE
75,7,ALVES
75,0,SHATW
75,5,OLIVE
100,54,XTREE
100,1,ALVES
100,0,SHATW
100,8,OLIVE
25,3,XTREE
25,76,ALVES
25,85,SHATW
25,73,OLIVE
50,31,XTREE
50,16,ALVES
50,10,SHATW
50,9,OLIVE
75,11,XTREE
75,8,ALVES
75,0,SHATW
75,6,OLIVE
100,54,XTREE
100,1,ALVES
100,0,SHATW
100,9,OLIVE
25,5,XTREE
25,77,ALVES
25,88,SHATW
25,76,OLIVE
50,33,XTREE
50,14,ALVES
50,10,SHATW
50,7,OLIVE
75,10,XTREE
75,8,ALVES
75,0,SHATW
75,7,OLIVE
100,55,XTREE
100,1,ALVES
100,0,SHATW
100,8,OLIVE
25,4,XTREE
25,77,ALVES
25,90,SHATW
25,69,OLIVE
50,33,XTREE
50,16,ALVES
50,6,SHATW
50,13,OLIVE
75,9,XTREE
75,9,ALVES
75,0,SHATW
75,5,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,10,OLIVE
25,26,XTREE
25,73,ALVES
25,83,SHATW
25,75,OLIVE
50,22,XTREE
50,15,ALVES
50,13,SHATW
50,10,OLIVE
75,5,XTREE
75,8,ALVES
75,0,SHATW
75,5,OLIVE
100,44,XTREE
100,1,ALVES
100,0,SHATW
100,6,OLIVE
25,4,XTREE
25,77,ALVES
25,84,SHATW
25,67,OLIVE
50,31,XTREE
50,17,ALVES
50,12,SHATW
50,12,OLIVE
75,13,XTREE
75,7,ALVES
75,0,SHATW
75,6,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,13,OLIVE
25,3,XTREE
25,69,ALVES
25,84,SHATW
25,73,OLIVE
50,32,XTREE
50,20,ALVES
50,12,SHATW
50,13,OLIVE
75,10,XTREE
75,13,ALVES
75,0,SHATW
75,4,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,7,OLIVE
25,3,XTREE
25,73,ALVES
25,80,SHATW
25,78,OLIVE
50,32,XTREE
50,18,ALVES
50,15,SHATW
50,8,OLIVE
75,10,XTREE
75,8,ALVES
75,0,SHATW
75,5,OLIVE
100,54,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,3,XTREE
25,74,ALVES
25,83,SHATW
25,72,OLIVE
50,31,XTREE
50,18,ALVES
50,14,SHATW
50,12,OLIVE
75,12,XTREE
75,7,ALVES
75,0,SHATW
75,5,OLIVE
100,54,XTREE
