Overlap,Heeded
0,0
0,0
0,-1
25,-1
0,0
0,-2
0,0
0,0
0,-2
40,2
0,0
20,-6
0,0
0,0
35,-1
0,0
0,0
0,0
55,0
0,-1
0,0
0,-1
0,0
0,0
0,0
35,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
25,0
0,0
0,-1
0,0
75,0
0,0
50,-2
50,3
0,0
0,0
40,-1
45,0
0,0
0,-2
0,-1
0,0
0,-1
20,3
45,-2
0,0
0,0
0,0
15,-1
45,0
0,0
15,-1
0,0
0,0
0,0
0,0
0,0
70,1
0,0
0,0
0,-1
0,0
0,0
0,0
0,0
0,-3
0,0
30,-1
0,0
0,0
0,0
0,0
45,2
0,0
0,0
45,-2
40,2
0,0
0,-1
0,0
0,-1
65,1
90,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-4
0,0
0,0
0,-3
0,0
70,1
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10,1
60,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,-2
0,-1
0,0
0,-1
0,0
20,1
0,0
85,0
0,0
0,0
0,-2
40,-2
0,-1
0,-4
0,0
0,-1
25,4
0,0
0,-1
35,1
0,0
0,0
0,0
0,-1
35,1
0,0
35,-2
0,0
0,0
95,1
0,0
0,-1
55,1
0,-1
0,0
0,0
25,-1
0,0
0,0
40,1
30,-1
0,0
0,-1
0,0
30,0
85,0
75,1
0,0
50,-5
0,0
0,0
0,0
45,-1
0,0
0,0
70,0
0,0
0,0
55,1
20,-2
0,0
0,0
30,2
0,0
0,0
0,-4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
25,-1
40,0
0,0
10,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
20,1
0,0
0,0
0,-1
0,-1
30,0
75,1
0,0
0,-1
0,-2
45,0
0,-2
0,-6
35,3
0,-1
0,0
45,1
0,0
0,0
0,0
45,2
0,0
0,0
30,1
0,0
0,0
0,0
0,0
0,0
25,1
0,0
35,1
0,0
0,0
0,0
30,-1
0,-1
0,0
0,0
0,0
20,-1
20,1
0,0
0,-1
0,0
0,0
0,-2
25,1
0,0
0,-1
0,0
0,0
0,-4
0,-4
0,0
20,-3
25,-2
45,2
0,0
0,-1
0,0
0,0
35,1
0,0
0,0
50,0
0,-1
0,0
0,0
0,-1
0,0
0,-1
0,0
0,0
0,0
0,-1
0,-1
45,3
0,0
0,0
25,-5
40,1
45,0
55,1
15,-3
0,0
50,1
0,0
35,0
0,0
0,0
0,0
60,3
50,1
65,0
40,1
0,0
0,0
0,0
0,0
45,1
0,-1
0,0
0,0
0,0
45,0
0,-2
0,0
0,-1
0,0
0,0
35,-2
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
60,1
0,0
35,2
0,0
0,0
0,0
15,4
0,0
35,1
0,-1
0,0
55,0
0,0
30,1
0,0
