Overlap,Num,Method
50,0,SHATW
50,13,OLIVE
75,44,XTREE
75,16,ALVES
75,0,SHATW
75,13,OLIVE
100,93,XTREE
100,5,ALVES
100,0,SHATW
100,20,OLIVE
25,2,XTREE
25,10,ALVES
25,48,SHATW
25,2,OLIVE
50,22,XTREE
50,30,ALVES
50,0,SHATW
50,12,OLIVE
75,31,XTREE
75,14,ALVES
75,0,SHATW
75,12,OLIVE
100,63,XTREE
100,4,ALVES
100,0,SHATW
100,23,OLIVE
25,2,XTREE
25,7,ALVES
25,55,SHATW
25,3,OLIVE
50,22,XTREE
50,32,ALVES
50,0,SHATW
50,14,OLIVE
75,32,XTREE
75,14,ALVES
75,0,SHATW
75,13,OLIVE
100,71,XTREE
100,7,ALVES
100,0,SHATW
100,26,OLIVE
25,2,XTREE
25,10,ALVES
25,51,SHATW
25,4,OLIVE
50,27,XTREE
50,23,ALVES
50,0,SHATW
50,7,OLIVE
75,34,XTREE
75,13,ALVES
75,0,SHATW
75,18,OLIVE
100,103,XTREE
100,2,ALVES
100,0,SHATW
100,25,OLIVE
25,2,XTREE
25,10,ALVES
25,52,SHATW
25,1,OLIVE
50,27,XTREE
50,27,ALVES
50,0,SHATW
50,13,OLIVE
75,38,XTREE
75,14,ALVES
75,0,SHATW
75,15,OLIVE
100,99,XTREE
100,5,ALVES
100,0,SHATW
100,21,OLIVE
25,2,XTREE
25,10,ALVES
25,47,SHATW
25,3,OLIVE
50,27,XTREE
50,26,ALVES
50,0,SHATW
50,18,OLIVE
75,44,XTREE
75,10,ALVES
75,0,SHATW
75,16,OLIVE
100,93,XTREE
100,5,ALVES
100,0,SHATW
100,23,OLIVE
25,2,XTREE
25,10,ALVES
25,53,SHATW
25,3,OLIVE
50,22,XTREE
50,30,ALVES
50,0,SHATW
50,6,OLIVE
75,31,XTREE
75,11,ALVES
75,0,SHATW
75,15,OLIVE
100,63,XTREE
100,6,ALVES
100,0,SHATW
100,28,OLIVE
25,2,XTREE
25,7,ALVES
25,63,SHATW
25,2,OLIVE
50,22,XTREE
50,27,ALVES
50,0,SHATW
50,9,OLIVE
75,32,XTREE
75,14,ALVES
75,0,SHATW
75,14,OLIVE
100,71,XTREE
100,6,ALVES
100,0,SHATW
100,24,OLIVE
