Overlap,Num,Method
25,2,XTREE
25,11,ALVES
25,53,SHATW
25,2,OLIVE
50,27,XTREE
50,25,ALVES
50,0,SHATW
50,11,OLIVE
75,43,XTREE
75,15,ALVES
75,0,SHATW
75,18,OLIVE
100,94,XTREE
100,5,ALVES
100,0,SHATW
100,25,OLIVE
25,2,XTREE
25,7,ALVES
25,57,SHATW
25,3,OLIVE
50,25,XTREE
50,26,ALVES
50,0,SHATW
50,9,OLIVE
75,41,XTREE
75,18,ALVES
75,0,SHATW
75,9,OLIVE
100,98,XTREE
100,8,ALVES
100,0,SHATW
100,30,OLIVE
25,2,XTREE
25,11,ALVES
25,50,SHATW
25,4,OLIVE
50,27,XTREE
50,32,ALVES
50,0,SHATW
50,10,OLIVE
75,42,XTREE
75,12,ALVES
75,0,SHATW
75,15,OLIVE
100,95,XTREE
100,3,ALVES
100,0,SHATW
100,25,OLIVE
25,2,XTREE
25,5,ALVES
25,54,SHATW
25,3,OLIVE
50,27,XTREE
50,36,ALVES
50,0,SHATW
50,12,OLIVE
75,40,XTREE
75,16,ALVES
75,0,SHATW
75,16,OLIVE
100,97,XTREE
100,0,ALVES
100,0,SHATW
100,24,OLIVE
25,2,XTREE
25,9,ALVES
25,49,SHATW
25,2,OLIVE
50,27,XTREE
50,26,ALVES
50,0,SHATW
50,14,OLIVE
75,44,XTREE
75,15,ALVES
75,0,SHATW
75,20,OLIVE
100,93,XTREE
100,4,ALVES
100,0,SHATW
100,26,OLIVE
25,5,XTREE
25,11,ALVES
25,48,SHATW
25,0,OLIVE
50,24,XTREE
50,24,ALVES
50,0,SHATW
50,16,OLIVE
75,43,XTREE
75,11,ALVES
75,0,SHATW
75,18,OLIVE
100,94,XTREE
100,2,ALVES
100,0,SHATW
100,18,OLIVE
25,2,XTREE
25,11,ALVES
25,45,SHATW
25,1,OLIVE
50,27,XTREE
50,26,ALVES
50,0,SHATW
50,16,OLIVE
75,44,XTREE
75,15,ALVES
75,0,SHATW
75,19,OLIVE
100,93,XTREE
100,4,ALVES
100,0,SHATW
100,18,OLIVE
25,2,XTREE
25,7,ALVES
25,48,SHATW
25,2,OLIVE
50,27,XTREE
50,28,ALVES
50,0,SHATW
50,14,OLIVE
75,42,XTREE
75,9,ALVES
75,0,SHATW
75,17,OLIVE
100,95,XTREE
100,5,ALVES
100,0,SHATW
100,30,OLIVE
25,2,XTREE
25,9,ALVES
25,55,SHATW
25,0,OLIVE
50,27,XTREE
50,29,ALVES
50,0,SHATW
50,5,OLIVE
75,42,XTREE
75,17,ALVES
75,0,SHATW
75,14,OLIVE
100,95,XTREE
100,4,ALVES
100,0,SHATW
100,23,OLIVE
25,2,XTREE
25,9,ALVES
25,54,SHATW
25,2,OLIVE
50,27,XTREE
50,22,ALVES
50,0,SHATW
50,10,OLIVE
75,42,XTREE
75,15,ALVES
75,0,SHATW
75,16,OLIVE
100,95,XTREE
100,7,ALVES
100,0,SHATW
100,22,OLIVE
25,2,XTREE
25,11,ALVES
25,48,SHATW
25,3,OLIVE
50,22,XTREE
50,24,ALVES
50,0,SHATW
50,12,OLIVE
75,31,XTREE
75,17,ALVES
75,0,SHATW
75,15,OLIVE
100,63,XTREE
100,5,ALVES
100,0,SHATW
100,27,OLIVE
25,2,XTREE
25,8,ALVES
25,59,SHATW
25,2,OLIVE
50,27,XTREE
50,33,ALVES
50,0,SHATW
50,11,OLIVE
75,42,XTREE
75,12,ALVES
75,0,SHATW
75,21,OLIVE
100,95,XTREE
100,9,ALVES
100,0,SHATW
100,27,OLIVE
25,2,XTREE
25,14,ALVES
25,57,SHATW
25,0,OLIVE
50,22,XTREE
50,25,ALVES
50,0,SHATW
50,15,OLIVE
75,31,XTREE
75,12,ALVES
75,0,SHATW
75,20,OLIVE
100,63,XTREE
100,6,ALVES
100,0,SHATW
100,20,OLIVE
25,2,XTREE
25,8,ALVES
25,52,SHATW
25,2,OLIVE
50,22,XTREE
50,32,ALVES
50,0,SHATW
50,10,OLIVE
75,31,XTREE
75,14,ALVES
75,0,SHATW
75,15,OLIVE
100,63,XTREE
100,6,ALVES
100,0,SHATW
100,25,OLIVE
25,2,XTREE
25,6,ALVES
25,61,SHATW
25,4,OLIVE
50,22,XTREE
50,26,ALVES
50,0,SHATW
50,11,OLIVE
75,32,XTREE
75,10,ALVES
75,0,SHATW
75,16,OLIVE
100,71,XTREE
100,5,ALVES
100,0,SHATW
100,26,OLIVE
25,2,XTREE
25,6,ALVES
25,56,SHATW
25,4,OLIVE
50,27,XTREE
50,31,ALVES
50,0,SHATW
50,13,OLIVE
75,42,XTREE
75,11,ALVES
75,0,SHATW
75,18,OLIVE
100,95,XTREE
100,3,ALVES
100,0,SHATW
100,23,OLIVE
25,2,XTREE
25,6,ALVES
25,51,SHATW
25,3,OLIVE
50,27,XTREE
50,24,ALVES
50,0,SHATW
50,12,OLIVE
75,44,XTREE
75,7,ALVES
75,0,SHATW
75,13,OLIVE
100,93,XTREE
100,4,ALVES
100,0,SHATW
100,26,OLIVE
25,2,XTREE
25,13,ALVES
25,59,SHATW
25,3,OLIVE
50,27,XTREE
50,29,ALVES
50,0,SHATW
50,12,OLIVE
75,32,XTREE
75,11,ALVES
75,0,SHATW
75,16,OLIVE
100,105,XTREE
100,7,ALVES
100,0,SHATW
100,23,OLIVE
25,2,XTREE
25,10,ALVES
25,52,SHATW
25,3,OLIVE
50,27,XTREE
50,28,ALVES
50,0,SHATW
50,7,OLIVE
75,35,XTREE
75,14,ALVES
75,0,SHATW
75,16,OLIVE
100,102,XTREE
100,4,ALVES
100,0,SHATW
100,27,OLIVE
25,2,XTREE
25,5,ALVES
25,58,SHATW
25,1,OLIVE
50,22,XTREE
50,25,ALVES
50,0,SHATW
50,18,OLIVE
75,31,XTREE
75,11,ALVES
75,0,SHATW
75,13,OLIVE
100,63,XTREE
100,6,ALVES
100,0,SHATW
100,28,OLIVE
25,2,XTREE
25,7,ALVES
25,55,SHATW
25,1,OLIVE
50,27,XTREE
50,25,ALVES
50,0,SHATW
50,12,OLIVE
75,42,XTREE
75,14,ALVES
75,0,SHATW
75,19,OLIVE
100,95,XTREE
100,4,ALVES
100,0,SHATW
100,19,OLIVE
25,2,XTREE
25,8,ALVES
25,53,SHATW
25,2,OLIVE
50,27,XTREE
50,33,ALVES
50,0,SHATW
50,13,OLIVE
75,41,XTREE
75,12,ALVES
75,0,SHATW
75,14,OLIVE
100,96,XTREE
100,2,ALVES
100,0,SHATW
100,18,OLIVE
25,2,XTREE
25,9,ALVES
25,56,SHATW
25,3,OLIVE
50,27,XTREE
50,30,ALVES
