Overlap,Num,Method
25,1,XTREE
25,143,ALVES
25,171,SHATW
25,148,OLIVE
50,50,XTREE
50,22,ALVES
50,7,SHATW
50,8,OLIVE
75,29,XTREE
75,14,ALVES
75,0,SHATW
75,8,OLIVE
100,103,XTREE
100,0,ALVES
100,0,SHATW
100,10,OLIVE
25,5,XTREE
25,155,ALVES
25,171,SHATW
25,145,OLIVE
50,49,XTREE
50,12,ALVES
50,9,SHATW
50,9,OLIVE
75,32,XTREE
75,8,ALVES
75,0,SHATW
75,7,OLIVE
100,100,XTREE
100,1,ALVES
100,0,SHATW
100,14,OLIVE
25,2,XTREE
25,144,ALVES
25,171,SHATW
25,143,OLIVE
50,49,XTREE
50,18,ALVES
50,8,SHATW
50,9,OLIVE
75,31,XTREE
75,16,ALVES
75,0,SHATW
75,8,OLIVE
100,103,XTREE
100,0,ALVES
100,0,SHATW
100,15,OLIVE
25,3,XTREE
25,149,ALVES
25,171,SHATW
25,145,OLIVE
50,47,XTREE
50,14,ALVES
50,5,SHATW
50,10,OLIVE
75,29,XTREE
75,13,ALVES
75,0,SHATW
75,9,OLIVE
100,104,XTREE
100,1,ALVES
100,0,SHATW
100,12,OLIVE
25,2,XTREE
25,139,ALVES
25,171,SHATW
25,147,OLIVE
50,50,XTREE
50,23,ALVES
50,8,SHATW
50,7,OLIVE
75,31,XTREE
75,17,ALVES
75,0,SHATW
75,7,OLIVE
100,100,XTREE
100,1,ALVES
100,0,SHATW
100,14,OLIVE
25,2,XTREE
25,144,ALVES
25,171,SHATW
25,148,OLIVE
50,49,XTREE
50,16,ALVES
50,8,SHATW
50,9,OLIVE
75,33,XTREE
75,17,ALVES
75,0,SHATW
75,10,OLIVE
100,101,XTREE
100,1,ALVES
100,0,SHATW
100,10,OLIVE
25,4,XTREE
25,141,ALVES
25,171,SHATW
25,142,OLIVE
50,48,XTREE
50,22,ALVES
50,6,SHATW
50,10,OLIVE
75,30,XTREE
75,17,ALVES
75,0,SHATW
75,9,OLIVE
100,105,XTREE
100,0,ALVES
100,0,SHATW
100,15,OLIVE
25,5,XTREE
25,145,ALVES
25,171,SHATW
25,148,OLIVE
50,45,XTREE
50,16,ALVES
50,4,SHATW
50,11,OLIVE
75,47,XTREE
75,15,ALVES
75,0,SHATW
75,5,OLIVE
100,93,XTREE
100,0,ALVES
100,0,SHATW
100,10,OLIVE
25,2,XTREE
25,144,ALVES
25,171,SHATW
25,144,OLIVE
50,48,XTREE
50,19,ALVES
50,11,SHATW
50,13,OLIVE
75,31,XTREE
75,15,ALVES
75,0,SHATW
75,7,OLIVE
100,103,XTREE
100,0,ALVES
100,0,SHATW
100,12,OLIVE
25,5,XTREE
25,148,ALVES
25,171,SHATW
25,142,OLIVE
50,49,XTREE
50,16,ALVES
50,8,SHATW
50,13,OLIVE
75,30,XTREE
75,13,ALVES
75,0,SHATW
75,9,OLIVE
100,101,XTREE
100,0,ALVES
100,0,SHATW
100,10,OLIVE
