Overlap,Num,Method
25,6,XTREE
25,3,ALVES
25,161,SHATW
25,4,OLIVE
50,47,XTREE
50,36,ALVES
50,0,SHATW
50,20,OLIVE
75,59,XTREE
75,74,ALVES
75,0,SHATW
75,23,OLIVE
100,407,XTREE
100,13,ALVES
100,0,SHATW
100,106,OLIVE
25,6,XTREE
25,11,ALVES
25,171,SHATW
25,3,OLIVE
50,52,XTREE
50,38,ALVES
50,0,SHATW
50,19,OLIVE
75,50,XTREE
75,81,ALVES
75,0,SHATW
75,27,OLIVE
100,411,XTREE
100,16,ALVES
100,0,SHATW
100,110,OLIVE
25,6,XTREE
25,8,ALVES
25,159,SHATW
25,1,OLIVE
50,49,XTREE
50,40,ALVES
50,0,SHATW
50,22,OLIVE
75,56,XTREE
75,83,ALVES
75,0,SHATW
75,25,OLIVE
100,408,XTREE
100,12,ALVES
100,0,SHATW
100,98,OLIVE
25,6,XTREE
25,10,ALVES
25,138,SHATW
25,4,OLIVE
50,49,XTREE
50,40,ALVES
50,0,SHATW
50,15,OLIVE
75,48,XTREE
75,79,ALVES
75,0,SHATW
75,25,OLIVE
100,416,XTREE
100,10,ALVES
100,0,SHATW
100,96,OLIVE
25,6,XTREE
25,8,ALVES
25,149,SHATW
25,3,OLIVE
50,52,XTREE
50,40,ALVES
50,0,SHATW
50,16,OLIVE
75,49,XTREE
75,72,ALVES
75,0,SHATW
75,21,OLIVE
100,412,XTREE
100,9,ALVES
100,0,SHATW
100,97,OLIVE
25,6,XTREE
25,6,ALVES
25,136,SHATW
25,3,OLIVE
50,49,XTREE
50,43,ALVES
50,0,SHATW
50,17,OLIVE
75,53,XTREE
75,76,ALVES
75,0,SHATW
75,17,OLIVE
100,411,XTREE
100,13,ALVES
100,0,SHATW
100,106,OLIVE
25,6,XTREE
25,9,ALVES
25,139,SHATW
25,2,OLIVE
50,49,XTREE
50,31,ALVES
50,0,SHATW
50,16,OLIVE
75,48,XTREE
75,81,ALVES
75,0,SHATW
75,24,OLIVE
100,416,XTREE
100,11,ALVES
100,0,SHATW
100,94,OLIVE
25,9,XTREE
25,9,ALVES
25,140,SHATW
25,2,OLIVE
50,53,XTREE
50,39,ALVES
50,0,SHATW
50,19,OLIVE
75,79,XTREE
75,93,ALVES
75,0,SHATW
75,17,OLIVE
100,378,XTREE
100,8,ALVES
100,0,SHATW
100,93,OLIVE
25,6,XTREE
25,8,ALVES
25,152,SHATW
25,1,OLIVE
50,49,XTREE
50,44,ALVES
50,0,SHATW
50,13,OLIVE
75,54,XTREE
75,90,ALVES
75,0,SHATW
75,26,OLIVE
100,410,XTREE
100,14,ALVES
100,0,SHATW
100,85,OLIVE
25,6,XTREE
25,7,ALVES
25,155,SHATW
25,3,OLIVE
50,48,XTREE
50,45,ALVES
50,0,SHATW
50,12,OLIVE
75,51,XTREE
75,77,ALVES
75,0,SHATW
75,24,OLIVE
100,414,XTREE
100,11,ALVES
100,0,SHATW
100,94,OLIVE
