Overlap,Num,Method
25,2,XTREE
25,461,ALVES
25,506,SHATW
25,457,OLIVE
50,56,XTREE
50,30,ALVES
50,4,SHATW
50,5,OLIVE
75,113,XTREE
75,33,ALVES
75,0,SHATW
75,29,OLIVE
100,386,XTREE
100,0,ALVES
100,0,SHATW
100,18,OLIVE
25,0,XTREE
25,466,ALVES
25,506,SHATW
25,455,OLIVE
50,25,XTREE
50,23,ALVES
50,7,SHATW
50,4,OLIVE
75,102,XTREE
75,30,ALVES
75,0,SHATW
75,33,OLIVE
100,402,XTREE
100,2,ALVES
100,0,SHATW
100,17,OLIVE
25,0,XTREE
25,464,ALVES
25,506,SHATW
25,454,OLIVE
50,28,XTREE
50,19,ALVES
50,5,SHATW
50,3,OLIVE
75,106,XTREE
75,38,ALVES
75,0,SHATW
75,33,OLIVE
100,402,XTREE
100,2,ALVES
100,0,SHATW
100,20,OLIVE
25,0,XTREE
25,455,ALVES
25,506,SHATW
25,444,OLIVE
50,55,XTREE
50,35,ALVES
50,5,SHATW
50,5,OLIVE
75,109,XTREE
75,34,ALVES
75,0,SHATW
75,39,OLIVE
100,390,XTREE
100,1,ALVES
100,0,SHATW
100,22,OLIVE
25,1,XTREE
25,459,ALVES
25,506,SHATW
25,463,OLIVE
50,52,XTREE
50,27,ALVES
50,7,SHATW
50,7,OLIVE
75,113,XTREE
75,34,ALVES
75,0,SHATW
75,27,OLIVE
100,390,XTREE
100,1,ALVES
100,0,SHATW
100,14,OLIVE
25,1,XTREE
25,460,ALVES
25,506,SHATW
25,457,OLIVE
50,26,XTREE
50,30,ALVES
50,8,SHATW
50,4,OLIVE
75,102,XTREE
75,35,ALVES
75,0,SHATW
75,35,OLIVE
100,400,XTREE
100,0,ALVES
100,0,SHATW
100,15,OLIVE
25,2,XTREE
25,465,ALVES
25,506,SHATW
25,449,OLIVE
50,54,XTREE
50,28,ALVES
50,7,SHATW
50,5,OLIVE
75,111,XTREE
75,29,ALVES
75,0,SHATW
75,41,OLIVE
100,391,XTREE
100,2,ALVES
100,0,SHATW
100,18,OLIVE
25,1,XTREE
25,459,ALVES
25,506,SHATW
25,459,OLIVE
50,27,XTREE
50,25,ALVES
50,7,SHATW
50,5,OLIVE
75,107,XTREE
75,36,ALVES
75,0,SHATW
75,33,OLIVE
100,398,XTREE
100,1,ALVES
100,0,SHATW
100,11,OLIVE
25,0,XTREE
25,459,ALVES
25,506,SHATW
25,458,OLIVE
50,28,XTREE
50,33,ALVES
50,9,SHATW
50,4,OLIVE
75,114,XTREE
75,31,ALVES
75,0,SHATW
75,34,OLIVE
100,394,XTREE
100,1,ALVES
100,0,SHATW
100,14,OLIVE
25,1,XTREE
25,461,ALVES
25,506,SHATW
25,453,OLIVE
50,28,XTREE
50,28,ALVES
50,6,SHATW
50,7,OLIVE
75,108,XTREE
75,35,ALVES
75,0,SHATW
75,31,OLIVE
100,396,XTREE
100,0,ALVES
100,0,SHATW
100,18,OLIVE
