Overlap,Num,Method
25,0,XTREE
25,186,ALVES
25,196,SHATW
25,189,OLIVE
50,8,XTREE
50,4,ALVES
50,2,SHATW
50,1,OLIVE
75,6,XTREE
75,7,ALVES
75,0,SHATW
75,1,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,1,XTREE
25,189,ALVES
25,196,SHATW
25,187,OLIVE
50,8,XTREE
50,4,ALVES
50,2,SHATW
50,2,OLIVE
75,5,XTREE
75,4,ALVES
75,0,SHATW
75,2,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,1,XTREE
25,185,ALVES
25,196,SHATW
25,188,OLIVE
50,8,XTREE
50,5,ALVES
50,1,SHATW
50,2,OLIVE
75,5,XTREE
75,7,ALVES
75,0,SHATW
75,1,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,1,XTREE
25,186,ALVES
25,196,SHATW
25,186,OLIVE
50,8,XTREE
50,3,ALVES
50,3,SHATW
50,2,OLIVE
75,5,XTREE
75,7,ALVES
75,0,SHATW
75,2,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,7,OLIVE
25,0,XTREE
25,187,ALVES
25,196,SHATW
25,186,OLIVE
50,8,XTREE
50,4,ALVES
50,2,SHATW
50,3,OLIVE
75,6,XTREE
75,6,ALVES
75,0,SHATW
75,1,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,7,OLIVE
25,1,XTREE
25,188,ALVES
25,196,SHATW
25,187,OLIVE
50,8,XTREE
50,3,ALVES
50,2,SHATW
50,3,OLIVE
75,6,XTREE
75,6,ALVES
75,0,SHATW
75,2,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,1,XTREE
25,187,ALVES
25,196,SHATW
25,187,OLIVE
50,8,XTREE
50,5,ALVES
50,0,SHATW
50,3,OLIVE
75,5,XTREE
75,5,ALVES
75,0,SHATW
75,1,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,1,XTREE
25,187,ALVES
25,196,SHATW
25,187,OLIVE
50,7,XTREE
50,5,ALVES
50,1,SHATW
50,2,OLIVE
75,5,XTREE
75,6,ALVES
75,0,SHATW
75,3,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,1,XTREE
25,187,ALVES
25,196,SHATW
25,189,OLIVE
50,8,XTREE
50,4,ALVES
50,3,SHATW
50,2,OLIVE
75,6,XTREE
75,6,ALVES
75,0,SHATW
75,0,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,1,XTREE
25,183,ALVES
25,196,SHATW
25,187,OLIVE
50,8,XTREE
50,4,ALVES
50,2,SHATW
50,1,OLIVE
75,7,XTREE
75,11,ALVES
75,0,SHATW
75,1,OLIVE
100,184,XTREE
100,0,ALVES
100,0,SHATW
100,8,OLIVE
