Overlap,Num,Method
25,10,XTREE
25,235,ALVES
25,343,SHATW
25,239,OLIVE
50,159,XTREE
50,94,ALVES
50,18,SHATW
50,75,OLIVE
75,49,XTREE
75,28,ALVES
75,0,SHATW
75,19,OLIVE
100,153,XTREE
100,2,ALVES
100,0,SHATW
100,22,OLIVE
25,8,XTREE
25,239,ALVES
25,343,SHATW
25,238,OLIVE
50,160,XTREE
50,85,ALVES
50,21,SHATW
50,77,OLIVE
75,64,XTREE
75,31,ALVES
75,0,SHATW
75,18,OLIVE
100,148,XTREE
100,3,ALVES
100,0,SHATW
100,20,OLIVE
25,10,XTREE
25,240,ALVES
25,343,SHATW
25,229,OLIVE
50,163,XTREE
50,88,ALVES
50,21,SHATW
50,85,OLIVE
75,45,XTREE
75,23,ALVES
75,0,SHATW
75,25,OLIVE
100,152,XTREE
100,2,ALVES
100,0,SHATW
100,21,OLIVE
25,7,XTREE
25,257,ALVES
25,343,SHATW
25,238,OLIVE
50,153,XTREE
50,75,ALVES
50,19,SHATW
50,82,OLIVE
75,65,XTREE
75,17,ALVES
75,0,SHATW
75,18,OLIVE
100,153,XTREE
100,2,ALVES
100,0,SHATW
100,17,OLIVE
25,9,XTREE
25,234,ALVES
25,343,SHATW
25,240,OLIVE
50,164,XTREE
50,92,ALVES
50,17,SHATW
50,75,OLIVE
75,45,XTREE
75,28,ALVES
75,0,SHATW
75,18,OLIVE
100,151,XTREE
100,5,ALVES
100,0,SHATW
100,19,OLIVE
25,10,XTREE
25,242,ALVES
25,343,SHATW
25,242,OLIVE
50,158,XTREE
50,83,ALVES
50,21,SHATW
50,68,OLIVE
75,58,XTREE
75,29,ALVES
75,0,SHATW
75,21,OLIVE
100,151,XTREE
100,4,ALVES
100,0,SHATW
100,20,OLIVE
25,10,XTREE
25,240,ALVES
25,343,SHATW
25,245,OLIVE
50,165,XTREE
50,84,ALVES
50,17,SHATW
50,75,OLIVE
75,51,XTREE
75,27,ALVES
75,0,SHATW
75,20,OLIVE
100,149,XTREE
100,3,ALVES
100,0,SHATW
100,13,OLIVE
25,11,XTREE
25,241,ALVES
25,343,SHATW
25,239,OLIVE
50,164,XTREE
50,86,ALVES
50,15,SHATW
50,77,OLIVE
75,48,XTREE
75,25,ALVES
75,0,SHATW
75,18,OLIVE
100,149,XTREE
100,4,ALVES
100,0,SHATW
100,22,OLIVE
25,11,XTREE
25,246,ALVES
25,343,SHATW
25,233,OLIVE
50,161,XTREE
50,84,ALVES
50,18,SHATW
50,79,OLIVE
75,45,XTREE
75,25,ALVES
75,0,SHATW
75,21,OLIVE
100,151,XTREE
100,4,ALVES
100,0,SHATW
100,25,OLIVE
25,10,XTREE
25,253,ALVES
25,343,SHATW
25,231,OLIVE
50,157,XTREE
50,77,ALVES
50,16,SHATW
50,82,OLIVE
75,49,XTREE
75,27,ALVES
75,0,SHATW
75,24,OLIVE
100,152,XTREE
100,3,ALVES
100,0,SHATW
100,19,OLIVE
