Overlap,Num,Method
25,9,XTREE
25,9,ALVES
25,13,SHATW
25,5,OLIVE
50,35,XTREE
50,6,ALVES
50,11,SHATW
50,4,OLIVE
75,39,XTREE
75,7,ALVES
75,0,SHATW
75,7,OLIVE
100,137,XTREE
100,0,ALVES
100,0,SHATW
100,1,OLIVE
25,10,XTREE
25,9,ALVES
25,17,SHATW
25,4,OLIVE
50,37,XTREE
50,9,ALVES
50,6,SHATW
50,6,OLIVE
75,37,XTREE
75,5,ALVES
75,0,SHATW
75,7,OLIVE
100,136,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
25,9,XTREE
25,11,ALVES
25,17,SHATW
25,3,OLIVE
50,35,XTREE
50,7,ALVES
50,8,SHATW
50,9,OLIVE
75,38,XTREE
75,6,ALVES
75,0,SHATW
75,5,OLIVE
100,138,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,10,XTREE
25,11,ALVES
25,15,SHATW
25,6,OLIVE
50,36,XTREE
50,12,ALVES
50,9,SHATW
50,6,OLIVE
75,40,XTREE
75,7,ALVES
75,0,SHATW
75,10,OLIVE
100,134,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,9,XTREE
25,9,ALVES
25,10,SHATW
25,5,OLIVE
50,35,XTREE
50,7,ALVES
50,7,SHATW
50,5,OLIVE
75,39,XTREE
75,6,ALVES
75,0,SHATW
75,6,OLIVE
100,137,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,9,XTREE
25,6,ALVES
25,16,SHATW
25,7,OLIVE
50,36,XTREE
50,8,ALVES
50,10,SHATW
50,6,OLIVE
75,40,XTREE
75,5,ALVES
75,0,SHATW
75,7,OLIVE
100,135,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,9,XTREE
25,7,ALVES
25,10,SHATW
25,7,OLIVE
50,35,XTREE
50,6,ALVES
50,5,SHATW
50,4,OLIVE
75,40,XTREE
75,3,ALVES
75,0,SHATW
75,5,OLIVE
100,136,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,10,XTREE
25,8,ALVES
25,13,SHATW
25,4,OLIVE
50,35,XTREE
50,6,ALVES
50,10,SHATW
50,8,OLIVE
75,40,XTREE
75,5,ALVES
75,0,SHATW
75,8,OLIVE
100,135,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,9,XTREE
25,10,ALVES
25,14,SHATW
25,4,OLIVE
50,35,XTREE
50,3,ALVES
50,10,SHATW
50,7,OLIVE
75,40,XTREE
75,7,ALVES
75,0,SHATW
75,10,OLIVE
100,136,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,9,XTREE
25,10,ALVES
25,9,SHATW
25,6,OLIVE
50,34,XTREE
50,11,ALVES
50,12,SHATW
50,5,OLIVE
75,41,XTREE
75,6,ALVES
75,0,SHATW
75,7,OLIVE
100,136,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
